Comunidades y Ciudades Autónomas de destino;País de residencia;Periodo;Total
Andalucía;Total;2023T2;2.327.099.216
Andalucía;Total;2023T1;1.409.318.026,1
Andalucía;Total;2022T4;1.592.077.918,7
Andalucía;Total;2022T3;2.571.887.684,2
Andalucía;Total;2022T2;1.854.811.504,6
Andalucía;Total;2022T1;1.011.977.062,2
Andalucía;Total;2021T4;1.172.382.494
Andalucía;Total;2021T3;1.347.513.053,3
Andalucía;Total;2021T2;344.241.172,89
Andalucía;Total;2021T1;97.623.141,24
Andalucía;Total;2020T4;190.146.934,87
Andalucía;Total;2020T3;550.342.090,94
Andalucía;Total;2020T2;.
Andalucía;Total;2020T1;1.019.100.979,7
Andalucía;Total;2019T4;1.482.512.791,93
Andalucía;Total;2019T3;2.557.867.908,36
Andalucía;Total;2019T2;1.909.464.062,44
Andalucía;Total;2019T1;1.460.444.874,75
Andalucía;Total;2018T4;1.489.653.359,16
Andalucía;Total;2018T3;2.604.324.635,67
Andalucía;Total;2018T2;1.957.722.974,29
Andalucía;Total;2018T1;1.357.162.196,44
Andalucía;Alemania;2023T2;188.385.141,24
Andalucía;Alemania;2023T1;129.005.573,87
Andalucía;Alemania;2022T4;141.762.379,39
Andalucía;Alemania;2022T3;153.343.309,81
Andalucía;Alemania;2022T2;147.275.696,91
Andalucía;Alemania;2022T1;91.467.853,77
Andalucía;Alemania;2021T4;105.974.071,34
Andalucía;Alemania;2021T3;87.263.415,72
Andalucía;Alemania;2021T2;27.400.596,29
Andalucía;Alemania;2021T1;7.338.944,04
Andalucía;Alemania;2020T4;11.423.732,01
Andalucía;Alemania;2020T3;35.458.554,88
Andalucía;Alemania;2020T2;.
Andalucía;Alemania;2020T1;79.338.067,06
Andalucía;Alemania;2019T4;125.608.700,66
Andalucía;Alemania;2019T3;158.581.874,57
Andalucía;Alemania;2019T2;145.031.629,82
Andalucía;Alemania;2019T1;114.094.564,76
Andalucía;Alemania;2018T4;127.560.278,21
Andalucía;Alemania;2018T3;167.524.889,86
Andalucía;Alemania;2018T2;151.765.650,82
Andalucía;Alemania;2018T1;109.202.016,46
Andalucía;Andorra;2023T2;.
Andalucía;Andorra;2023T1;.
Andalucía;Andorra;2022T4;1.576.874,12
Andalucía;Andorra;2022T3;2.791.179,22
Andalucía;Andorra;2022T2;2.079.457,57
Andalucía;Andorra;2022T1;1.088.630,21
Andalucía;Andorra;2021T4;1.344.859,31
Andalucía;Andorra;2021T3;2.164.318,48
Andalucía;Andorra;2021T2;683.889,24
Andalucía;Andorra;2021T1;179.421,29
Andalucía;Andorra;2020T4;376.573,37
Andalucía;Andorra;2020T3;1.160.380,86
Andalucía;Andorra;2020T2;.
Andalucía;Andorra;2020T1;1.171.291,92
Andalucía;Andorra;2019T4;1.483.567,41
Andalucía;Andorra;2019T3;2.905.075,41
Andalucía;Andorra;2019T2;2.038.882,98
Andalucía;Andorra;2019T1;1.463.723,1
Andalucía;Andorra;2018T4;1.465.516,79
Andalucía;Andorra;2018T3;2.761.791,66
Andalucía;Andorra;2018T2;2.156.653,71
Andalucía;Andorra;2018T1;1.201.639,58
Andalucía;Austria;2023T2;18.395.413,81
Andalucía;Austria;2023T1;11.891.302,07
Andalucía;Austria;2022T4;13.040.113,16
Andalucía;Austria;2022T3;16.927.729,42
Andalucía;Austria;2022T2;14.563.295,96
Andalucía;Austria;2022T1;8.299.257,93
Andalucía;Austria;2021T4;9.039.294,03
Andalucía;Austria;2021T3;9.610.873,15
Andalucía;Austria;2021T2;2.554.398,09
Andalucía;Austria;2021T1;670.723,78
Andalucía;Austria;2020T4;1.010.919,52
Andalucía;Austria;2020T3;2.637.751,77
Andalucía;Austria;2020T2;.
Andalucía;Austria;2020T1;6.821.358,01
Andalucía;Austria;2019T4;10.024.069,66
Andalucía;Austria;2019T3;15.831.503,73
Andalucía;Austria;2019T2;13.405.660,6
Andalucía;Austria;2019T1;10.463.381,39
Andalucía;Austria;2018T4;10.606.738,78
Andalucía;Austria;2018T3;16.855.635,67
Andalucía;Austria;2018T2;12.367.114,34
Andalucía;Austria;2018T1;9.959.044,17
Andalucía;Bélgica;2023T2;102.778.138,32
Andalucía;Bélgica;2023T1;63.285.764,06
Andalucía;Bélgica;2022T4;71.725.722,27
Andalucía;Bélgica;2022T3;127.897.638,29
Andalucía;Bélgica;2022T2;86.335.129,86
Andalucía;Bélgica;2022T1;50.738.187,37
Andalucía;Bélgica;2021T4;61.216.408,86
Andalucía;Bélgica;2021T3;87.967.871,47
Andalucía;Bélgica;2021T2;20.500.437,24
Andalucía;Bélgica;2021T1;4.465.462,41
Andalucía;Bélgica;2020T4;9.141.837,86
Andalucía;Bélgica;2020T3;41.036.204,71
Andalucía;Bélgica;2020T2;.
Andalucía;Bélgica;2020T1;41.695.289,85
Andalucía;Bélgica;2019T4;63.059.241,31
Andalucía;Bélgica;2019T3;120.945.897,3
