CCAA de destino,Países,Trimestre,Total gasto,Total turistas,Dias estancia media
"Balears, Illes",Alemania,2023T2,"643120726,02","1560273,00","6,40"
"Balears, Illes",Alemania,2023T1,"191013238,56","340599,00","7,50"
"Balears, Illes",Alemania,2022T4,"298376285,02","622127,00","7,87"
"Balears, Illes",Alemania,2022T3,"549725912,78","1733548,00","7,77"
"Balears, Illes",Alemania,2022T2,"704129486,44","1618693,00","6,80"
"Balears, Illes",Alemania,2022T1,"172448200,31","296684,00","7,77"
"Balears, Illes",Alemania,2021T4,"281428955,23","428806,00","7,40"
"Balears, Illes",Alemania,2021T3,"497145886,34","736865,00","7,50"
"Balears, Illes",Alemania,2021T2,"325808935,45","405508,00","7,27"
"Balears, Illes",Alemania,2021T1,"27775041,82","38200,00","10,40"
"Balears, Illes",Alemania,2020T4,"28077992,69","58920,00","14,83"
"Balears, Illes",Alemania,2020T3,"189085964,18","376404,00","10,03"
"Balears, Illes",Alemania,2020T2,"0,00","17842,00","19,57"
"Balears, Illes",Alemania,2020T1,"88213202,44","248257,00","7,63"
"Balears, Illes",Andorra,2023T2,"2828956,43","2335,00","6,90"
"Balears, Illes",Andorra,2023T1,"671159,28","412,00","6,37"
"Balears, Illes",Andorra,2022T4,"951369,11","634,00","8,67"
"Balears, Illes",Andorra,2022T3,"3838096,97","3363,00","9,03"
"Balears, Illes",Andorra,2022T2,"2875947,19","1900,00","7,37"
"Balears, Illes",Andorra,2022T1,"631079,92","312,00","8,27"
"Balears, Illes",Andorra,2021T4,"829423,05","499,00","8,37"
"Balears, Illes",Andorra,2021T3,"4549640,21","2418,00","10,53"
"Balears, Illes",Andorra,2021T2,"1587701,54","818,00","7,03"
"Balears, Illes",Andorra,2021T1,"158071,69","156,00","6,80"
"Balears, Illes",Andorra,2020T4,"294298,79","356,00","11,13"
"Balears, Illes",Andorra,2020T3,"2318165,36","1707,00","9,70"
"Balears, Illes",Andorra,2020T2,"0,00","100,00","7,00"
"Balears, Illes",Andorra,2020T1,"321517,03","224,00","7,87"
"Balears, Illes",Austria,2023T2,"50266165,84","95591,00","5,47"
"Balears, Illes",Austria,2023T1,"10581404,74","15051,00","7,07"
"Balears, Illes",Austria,2022T4,"16896298,72","25830,00","7,30"
"Balears, Illes",Austria,2022T3,"48193916,23","105170,00","5,97"
"Balears, Illes",Austria,2022T2,"49393931,80","75946,00","5,67"
"Balears, Illes",Austria,2022T1,"9764178,65","19889,00","8,00"
"Balears, Illes",Austria,2021T4,"15142585,95","31952,00","8,30"
"Balears, Illes",Austria,2021T3,"39136498,25","87009,00","6,77"
"Balears, Illes",Austria,2021T2,"14765921,05","32115,00","7,13"
"Balears, Illes",Austria,2021T1,"1517278,17","7829,00","7,67"
"Balears, Illes",Austria,2020T4,"1841330,36","10015,00","12,90"
"Balears, Illes",Austria,2020T3,"9652787,81","26207,00","10,07"
"Balears, Illes",Austria,2020T2,"0,00","3647,00","11,33"
"Balears, Illes",Austria,2020T1,"4500638,40","11103,00","9,63"
"Balears, Illes",Bélgica,2023T2,"52550824,13","84797,00","5,53"
"Balears, Illes",Bélgica,2023T1,"7084808,53","9191,00","6,37"
"Balears, Illes",Bélgica,2022T4,"16025464,69","33376,00","6,53"
"Balears, Illes",Bélgica,2022T3,"64980863,13","151147,00","6,43"
"Balears, Illes",Bélgica,2022T2,"55023204,27","104843,00","5,63"
"Balears, Illes",Bélgica,2022T1,"7264316,10","8457,00","6,50"
"Balears, Illes",Bélgica,2021T4,"18176035,08","28638,00","6,67"
"Balears, Illes",Bélgica,2021T3,"66964306,40","89504,00","6,70"
"Balears, Illes",Bélgica,2021T2,"27225034,29","25762,00","6,40"
"Balears, Illes",Bélgica,2021T1,"929498,53","1734,00","10,40"
