RESIDENCIA/ORIGEN;Continentes;Países;CCAA de destino;Concepto turístico;Periodo;Total
Total;Europa;;Balears, Illes;Turistas;2021M12;83.314
Total;Europa;;Balears, Illes;Turistas;2021M11;189.519
Total;Europa;;Balears, Illes;Turistas;2021M10;821.065
Total;Europa;;Balears, Illes;Turistas;2021M09;887.506
Total;Europa;;Balears, Illes;Turistas;2021M08;1.051.162
Total;Europa;;Balears, Illes;Turistas;2021M07;959.072
Total;Europa;;Balears, Illes;Turistas;2021M06;424.137
Total;Europa;;Balears, Illes;Turistas;2021M05;229.633
Total;Europa;;Balears, Illes;Turistas;2021M04;127.744
Total;Europa;;Balears, Illes;Turistas;2021M03;43.670
Total;Europa;;Balears, Illes;Turistas;2021M02;27.285
Total;Europa;;Balears, Illes;Turistas;2021M01;38.025
Total;Europa;;Balears, Illes;Pernoctaciones;2021M12;697.034
Total;Europa;;Balears, Illes;Pernoctaciones;2021M11;1.420.825
Total;Europa;;Balears, Illes;Pernoctaciones;2021M10;5.410.490
Total;Europa;;Balears, Illes;Pernoctaciones;2021M09;5.976.936
Total;Europa;;Balears, Illes;Pernoctaciones;2021M08;8.135.469
Total;Europa;;Balears, Illes;Pernoctaciones;2021M07;6.520.503
Total;Europa;;Balears, Illes;Pernoctaciones;2021M06;2.823.608
Total;Europa;;Balears, Illes;Pernoctaciones;2021M05;1.613.636
Total;Europa;;Balears, Illes;Pernoctaciones;2021M04;1.066.322
Total;Europa;;Balears, Illes;Pernoctaciones;2021M03;432.189
Total;Europa;;Balears, Illes;Pernoctaciones;2021M02;319.428
Total;Europa;;Balears, Illes;Pernoctaciones;2021M01;341.329
Total;Europa;;Balears, Illes;Duración media de los viajes;2021M12;8,4
Total;Europa;;Balears, Illes;Duración media de los viajes;2021M11;7,5
Total;Europa;;Balears, Illes;Duración media de los viajes;2021M10;6,6
Total;Europa;;Balears, Illes;Duración media de los viajes;2021M09;6,7
Total;Europa;;Balears, Illes;Duración media de los viajes;2021M08;7,7
Total;Europa;;Balears, Illes;Duración media de los viajes;2021M07;6,8
Total;Europa;;Balears, Illes;Duración media de los viajes;2021M06;6,7
Total;Europa;;Balears, Illes;Duración media de los viajes;2021M05;7,0
Total;Europa;;Balears, Illes;Duración media de los viajes;2021M04;8,3
Total;Europa;;Balears, Illes;Duración media de los viajes;2021M03;9,9
Total;Europa;;Balears, Illes;Duración media de los viajes;2021M02;11,7
Total;Europa;;Balears, Illes;Duración media de los viajes;2021M01;9,0
Total;Europa;;Canarias;Turistas;2021M12;683.507
Total;Europa;;Canarias;Turistas;2021M11;845.616
Total;Europa;;Canarias;Turistas;2021M10;752.266
Total;Europa;;Canarias;Turistas;2021M09;493.724
Total;Europa;;Canarias;Turistas;2021M08;464.769
Total;Europa;;Canarias;Turistas;2021M07;299.593
Total;Europa;;Canarias;Turistas;2021M06;171.054
Total;Europa;;Canarias;Turistas;2021M05;145.453
