RESIDENCIA/ORIGEN;Continentes;Países;CCAA de destino;Concepto turístico;Periodo;Total
Total;Europa;;Balears, Illes;Turistas;2020M12;46.367
Total;Europa;;Balears, Illes;Turistas;2020M11;49.508
Total;Europa;;Balears, Illes;Turistas;2020M10;104.712
Total;Europa;;Balears, Illes;Turistas;2020M09;157.373
Total;Europa;;Balears, Illes;Turistas;2020M08;501.905
Total;Europa;;Balears, Illes;Turistas;2020M07;374.366
Total;Europa;;Balears, Illes;Turistas;2020M06;32.048
Total;Europa;;Balears, Illes;Turistas;2020M05;20.344
Total;Europa;;Balears, Illes;Turistas;2020M04;17.574
Total;Europa;;Balears, Illes;Turistas;2020M03;155.637
Total;Europa;;Balears, Illes;Turistas;2020M02;163.547
Total;Europa;;Balears, Illes;Turistas;2020M01;145.086
Total;Europa;;Balears, Illes;Pernoctaciones;2020M12;729.285
Total;Europa;;Balears, Illes;Pernoctaciones;2020M11;694.427
Total;Europa;;Balears, Illes;Pernoctaciones;2020M10;1.194.685
Total;Europa;;Balears, Illes;Pernoctaciones;2020M09;1.689.054
Total;Europa;;Balears, Illes;Pernoctaciones;2020M08;4.781.247
Total;Europa;;Balears, Illes;Pernoctaciones;2020M07;2.932.462
Total;Europa;;Balears, Illes;Pernoctaciones;2020M06;285.623
Total;Europa;;Balears, Illes;Pernoctaciones;2020M05;364.281
Total;Europa;;Balears, Illes;Pernoctaciones;2020M04;332.003
Total;Europa;;Balears, Illes;Pernoctaciones;2020M03;1.416.642
Total;Europa;;Balears, Illes;Pernoctaciones;2020M02;1.149.836
Total;Europa;;Balears, Illes;Pernoctaciones;2020M01;1.192.955
Total;Europa;;Balears, Illes;Duración media de los viajes;2020M12;15,7
Total;Europa;;Balears, Illes;Duración media de los viajes;2020M11;14,0
Total;Europa;;Balears, Illes;Duración media de los viajes;2020M10;11,4
Total;Europa;;Balears, Illes;Duración media de los viajes;2020M09;10,7
Total;Europa;;Balears, Illes;Duración media de los viajes;2020M08;9,5
Total;Europa;;Balears, Illes;Duración media de los viajes;2020M07;7,8
Total;Europa;;Balears, Illes;Duración media de los viajes;2020M06;8,9
Total;Europa;;Balears, Illes;Duración media de los viajes;2020M05;17,9
Total;Europa;;Balears, Illes;Duración media de los viajes;2020M04;18,9
Total;Europa;;Balears, Illes;Duración media de los viajes;2020M03;9,1
Total;Europa;;Balears, Illes;Duración media de los viajes;2020M02;7,0
Total;Europa;;Balears, Illes;Duración media de los viajes;2020M01;8,2
Total;Europa;;Canarias;Turistas;2020M12;188.955
