RESIDENCIA/ORIGEN;Continentes;Países;Concepto turístico;CCAA de destino;Periodo;Total
Total;Europa;;Turistas;Balears, Illes;2023M09;1.874.324
Total;Europa;;Turistas;Balears, Illes;2023M08;2.091.801
Total;Europa;;Turistas;Balears, Illes;2023M07;2.136.840
Total;Europa;;Turistas;Balears, Illes;2023M06;1.887.011
Total;Europa;;Turistas;Balears, Illes;2023M05;1.588.234
Total;Europa;;Turistas;Balears, Illes;2023M04;1.059.518
Total;Europa;;Turistas;Balears, Illes;2023M03;340.799
Total;Europa;;Turistas;Balears, Illes;2023M02;171.907
Total;Europa;;Turistas;Balears, Illes;2023M01;141.675
Total;Europa;;Turistas;Canarias;2023M09;968.741
Total;Europa;;Turistas;Canarias;2023M08;1.035.179
Total;Europa;;Turistas;Canarias;2023M07;1.023.568
Total;Europa;;Turistas;Canarias;2023M06;926.496
Total;Europa;;Turistas;Canarias;2023M05;917.181
Total;Europa;;Turistas;Canarias;2023M04;1.104.570
Total;Europa;;Turistas;Canarias;2023M03;1.218.439
Total;Europa;;Turistas;Canarias;2023M02;1.145.668
Total;Europa;;Turistas;Canarias;2023M01;1.130.112
Total;Europa;;Pernoctaciones;Balears, Illes;2023M09;11.904.528
Total;Europa;;Pernoctaciones;Balears, Illes;2023M08;14.516.447
Total;Europa;;Pernoctaciones;Balears, Illes;2023M07;13.804.964
Total;Europa;;Pernoctaciones;Balears, Illes;2023M06;11.346.064
Total;Europa;;Pernoctaciones;Balears, Illes;2023M05;8.989.221
Total;Europa;;Pernoctaciones;Balears, Illes;2023M04;6.041.771
Total;Europa;;Pernoctaciones;Balears, Illes;2023M03;2.250.464
Total;Europa;;Pernoctaciones;Balears, Illes;2023M02;1.160.882
Total;Europa;;Pernoctaciones;Balears, Illes;2023M01;1.097.134
Total;Europa;;Pernoctaciones;Canarias;2023M09;7.797.843
Total;Europa;;Pernoctaciones;Canarias;2023M08;8.782.865
Total;Europa;;Pernoctaciones;Canarias;2023M07;8.269.052
Total;Europa;;Pernoctaciones;Canarias;2023M06;7.006.456
Total;Europa;;Pernoctaciones;Canarias;2023M05;6.915.469
Total;Europa;;Pernoctaciones;Canarias;2023M04;8.329.179
Total;Europa;;Pernoctaciones;Canarias;2023M03;9.501.978
Total;Europa;;Pernoctaciones;Canarias;2023M02;9.070.378
Total;Europa;;Pernoctaciones;Canarias;2023M01;9.177.316
Total;Europa;;Duración media de los viajes;Balears, Illes;2023M09;6,4
Total;Europa;;Duración media de los viajes;Balears, Illes;2023M08;6,9
Total;Europa;;Duración media de los viajes;Balears, Illes;2023M07;6,5
Total;Europa;;Duración media de los viajes;Balears, Illes;2023M06;6,0
Total;Europa;;Duración media de los viajes;Balears, Illes;2023M05;5,7
Total;Europa;;Duración media de los viajes;Balears, Illes;2023M04;5,7
Total;Europa;;Duración media de los viajes;Balears, Illes;2023M03;6,6
Total;Europa;;Duración media de los viajes;Balears, Illes;2023M02;6,8
Total;Europa;;Duración media de los viajes;Balears, Illes;2023M01;7,7
Total;Europa;;Duración media de los viajes;Canarias;2023M09;8,0
Total;Europa;;Duración media de los viajes;Canarias;2023M08;8,5
Total;Europa;;Duración media de los viajes;Canarias;2023M07;8,1
Total;Europa;;Duración media de los viajes;Canarias;2023M06;7,6
Total;Europa;;Duración media de los viajes;Canarias;2023M05;7,5
Total;Europa;;Duración media de los viajes;Canarias;2023M04;7,5
Total;Europa;;Duración media de los viajes;Canarias;2023M03;7,8
Total;Europa;;Duración media de los viajes;Canarias;2023M02;7,9
Total;Europa;;Duración media de los viajes;Canarias;2023M01;8,1
Total;Europa;Albania;Turistas;Balears, Illes;2023M09;201
Total;Europa;Albania;Turistas;Balears, Illes;2023M08;364
Total;Europa;Albania;Turistas;Balears, Illes;2023M07;371
Total;Europa;Albania;Turistas;Balears, Illes;2023M06;247
Total;Europa;Albania;Turistas;Balears, Illes;2023M05;104
Total;Europa;Albania;Turistas;Balears, Illes;2023M04;72
Total;Europa;Albania;Turistas;Balears, Illes;2023M03;49
Total;Europa;Albania;Turistas;Balears, Illes;2023M02;.
Total;Europa;Albania;Turistas;Balears, Illes;2023M01;.
Total;Europa;Albania;Turistas;Canarias;2023M09;48
Total;Europa;Albania;Turistas;Canarias;2023M08;.
Total;Europa;Albania;Turistas;Canarias;2023M07;.
Total;Europa;Albania;Turistas;Canarias;2023M06;51
Total;Europa;Albania;Turistas;Canarias;2023M05;.
Total;Europa;Albania;Turistas;Canarias;2023M04;48
Total;Europa;Albania;Turistas;Canarias;2023M03;30
Total;Europa;Albania;Turistas;Canarias;2023M02;53
Total;Europa;Albania;Turistas;Canarias;2023M01;67
Total;Europa;Albania;Pernoctaciones;Balears, Illes;2023M09;1.146
Total;Europa;Albania;Pernoctaciones;Balears, Illes;2023M08;1.966
Total;Europa;Albania;Pernoctaciones;Balears, Illes;2023M07;1.892
Total;Europa;Albania;Pernoctaciones;Balears, Illes;2023M06;1.062
Total;Europa;Albania;Pernoctaciones;Balears, Illes;2023M05;385
Total;Europa;Albania;Pernoctaciones;Balears, Illes;2023M04;252
Total;Europa;Albania;Pernoctaciones;Balears, Illes;2023M03;167
Total;Europa;Albania;Pernoctaciones;Balears, Illes;2023M02;.
Total;Europa;Albania;Pernoctaciones;Balears, Illes;2023M01;.
Total;Europa;Albania;Pernoctaciones;Canarias;2023M09;378
Total;Europa;Albania;Pernoctaciones;Canarias;2023M08;.
Total;Europa;Albania;Pernoctaciones;Canarias;2023M07;.
Total;Europa;Albania;Pernoctaciones;Canarias;2023M06;303
Total;Europa;Albania;Pernoctaciones;Canarias;2023M05;.
Total;Europa;Albania;Pernoctaciones;Canarias;2023M04;240
Total;Europa;Albania;Pernoctaciones;Canarias;2023M03;232
Total;Europa;Albania;Pernoctaciones;Canarias;2023M02;293
Total;Europa;Albania;Pernoctaciones;Canarias;2023M01;558
Total;Europa;Albania;Duración media de los viajes;Balears, Illes;2023M09;5,7
Total;Europa;Albania;Duración media de los viajes;Balears, Illes;2023M08;5,4
Total;Europa;Albania;Duración media de los viajes;Balears, Illes;2023M07;5,1
Total;Europa;Albania;Duración media de los viajes;Balears, Illes;2023M06;4,3
Total;Europa;Albania;Duración media de los viajes;Balears, Illes;2023M05;3,7
Total;Europa;Albania;Duración media de los viajes;Balears, Illes;2023M04;3,5
Total;Europa;Albania;Duración media de los viajes;Balears, Illes;2023M03;3,4
Total;Europa;Albania;Duración media de los viajes;Balears, Illes;2023M02;.
Total;Europa;Albania;Duración media de los viajes;Balears, Illes;2023M01;.
Total;Europa;Albania;Duración media de los viajes;Canarias;2023M09;7,9
Total;Europa;Albania;Duración media de los viajes;Canarias;2023M08;.
