Motivo del viaje;Tipo de dato;Periodo;Total
Total;Dato base;2023M08;10.076.734
Total;Dato base;2023M07;10.131.579
Total;Dato base;2023M06;8.318.325
Total;Dato base;2023M05;8.218.334
Total;Dato base;2023M04;7.235.055
Total;Dato base;2023M03;5.257.076
Total;Dato base;2023M02;4.321.152
Total;Dato base;2023M01;4.147.345
Total;Dato base;2022M12;4.127.293
Total;Dato base;2022M11;4.334.651
Total;Dato base;2022M10;7.176.984
Total;Dato base;2022M09;7.767.211
Total;Dato base;2022M08;8.848.665
Total;Dato base;2022M07;9.091.390
Total;Dato base;2022M06;7.498.156
Total;Dato base;2022M05;6.988.353
Total;Dato base;2022M04;6.106.316
Total;Dato base;2022M03;4.039.532
Total;Dato base;2022M02;3.179.288
Total;Dato base;2022M01;2.501.443
Total;Dato base;2021M12;2.947.525
Total;Dato base;2021M11;3.361.913
Total;Dato base;2021M10;5.148.820
Total;Dato base;2021M09;4.703.933
Total;Dato base;2021M08;5.196.520
Total;Dato base;2021M07;4.398.992
Total;Dato base;2021M06;2.216.356
Total;Dato base;2021M05;1.363.164
Total;Dato base;2021M04;629.206
Total;Dato base;2021M03;491.427
Total;Dato base;2021M02;284.974
Total;Dato base;2021M01;437.973
Total;Dato base;2020M12;648.989
Total;Dato base;2020M11;456.814
Total;Dato base;2020M10;1.020.773
Total;Dato base;2020M09;1.138.868
Total;Dato base;2020M08;2.440.978
Total;Dato base;2020M07;2.464.779
Total;Dato base;2020M06;204.272
Total;Dato base;2020M05;0
Total;Dato base;2020M04;0
Total;Dato base;2020M03;1.997.262
Total;Dato base;2020M02;4.427.344
Total;Dato base;2020M01;4.133.024
Total;Dato base;2019M12;4.304.741
Total;Dato base;2019M11;4.655.021
Total;Dato base;2019M10;7.587.749
Total;Dato base;2019M09;8.845.152
Total;Dato base;2019M08;10.118.366
Total;Dato base;2019M07;9.873.270
Total;Dato base;2019M06;8.833.893
Total;Dato base;2019M05;7.919.204
Total;Dato base;2019M04;7.146.033
Total;Dato base;2019M03;5.649.577
Total;Dato base;2019M02;4.380.504
Total;Dato base;2019M01;4.195.641
Total;Dato base;2018M12;4.354.798
Total;Dato base;2018M11;4.536.873
Total;Dato base;2018M10;7.649.860
Total;Dato base;2018M09;8.932.308
Total;Dato base;2018M08;10.175.761
Total;Dato base;2018M07;10.020.246
Total;Dato base;2018M06;8.554.306
Total;Dato base;2018M05;8.086.048
Total;Dato base;2018M04;6.780.378
Total;Dato base;2018M03;5.393.186
Total;Dato base;2018M02;4.218.047
Total;Dato base;2018M01;4.106.601
Total;Dato base;2017M12;3.982.530
Total;Dato base;2017M11;4.392.575
Total;Dato base;2017M10;7.269.931
Total;Dato base;2017M09;8.877.270
Total;Dato base;2017M08;10.397.745
Total;Dato base;2017M07;10.493.438
Total;Dato base;2017M06;8.431.975
Total;Dato base;2017M05;8.002.648
Total;Dato base;2017M04;7.081.594
Total;Dato base;2017M03;4.913.943
Total;Dato base;2017M02;4.119.137
Total;Dato base;2017M01;3.905.736
Total;Dato base;2016M12;3.990.446
Total;Dato base;2016M11;4.098.262
Total;Dato base;2016M10;7.137.723
Total;Dato base;2016M09;7.932.607
Total;Dato base;2016M08;10.027.471
Total;Dato base;2016M07;9.545.792
Total;Dato base;2016M06;7.552.758
Total;Dato base;2016M05;7.111.154
Total;Dato base;2016M04;6.086.327
Total;Dato base;2016M03;4.627.206
Total;Dato base;2016M02;3.678.726
Total;Dato base;2016M01;3.526.537
Total;Dato base;2015M12;3.512.914
Total;Dato base;2015M11;3.754.802
Total;Dato base;2015M10;6.432.341
Total;Tasa de variación anual;2023M08;13,88
Total;Tasa de variación anual;2023M07;11,44
Total;Tasa de variación anual;2023M06;10,94
Total;Tasa de variación anual;2023M05;17,6
Total;Tasa de variación anual;2023M04;18,48
Total;Tasa de variación anual;2023M03;30,14
Total;Tasa de variación anual;2023M02;35,92
Total;Tasa de variación anual;2023M01;65,8
Total;Tasa de variación anual;2022M12;40,03
Total;Tasa de variación anual;2022M11;28,93
Total;Tasa de variación anual;2022M10;39,39
Total;Tasa de variación anual;2022M09;65,12
Total;Tasa de variación anual;2022M08;70,28
Total;Tasa de variación anual;2022M07;106,67
Total;Tasa de variación anual;2022M06;238,31
Total;Tasa de variación anual;2022M05;412,66
Total;Tasa de variación anual;2022M04;870,48
Total;Tasa de variación anual;2022M03;722
Total;Tasa de variación anual;2022M02;1.015,64
Total;Tasa de variación anual;2022M01;471,14
Total;Tasa de variación anual;2021M12;354,17
Total;Tasa de variación anual;2021M11;635,95
Total;Tasa de variación anual;2021M10;404,4
Total;Tasa de variación anual;2021M09;313,04
Total;Tasa de variación anual;2021M08;112,89
Total;Tasa de variación anual;2021M07;78,47
Total;Tasa de variación anual;2021M06;985
Total;Tasa de variación anual;2021M05;..
Total;Tasa de variación anual;2021M04;..
Total;Tasa de variación anual;2021M03;-75,39
Total;Tasa de variación anual;2021M02;-93,56
Total;Tasa de variación anual;2021M01;-89,4
Total;Tasa de variación anual;2020M12;-84,92
Total;Tasa de variación anual;2020M11;-90,19
Total;Tasa de variación anual;2020M10;-86,55
Total;Tasa de variación anual;2020M09;-87,12
Total;Tasa de variación anual;2020M08;-75,88
Total;Tasa de variación anual;2020M07;-75,04
